threads,size,nb,ib,GFlops
8,4096,32,8,44.249
8,4096,32,12,50.1467
8,4096,32,16,59.8464
8,4096,36,8,47.6357
8,4096,36,12,59.035
8,4096,36,16,59.8653
8,4096,40,8,57.0557
8,4096,40,12,62.8365
8,4096,40,16,71.7962
8,4096,40,20,81.7931
8,4096,44,8,58.0618
8,4096,44,12,69.6975
8,4096,44,16,78.7837
8,4096,44,20,78.8509
8,4096,48,8,67.2691
8,4096,48,12,78.8509
8,4096,48,16,91.5729
8,4096,48,20,90.2964
8,4096,48,24,97.9871
8,4096,52,8,69.0627
8,4096,52,12,79.637
8,4096,52,16,87.8906
8,4096,52,20,95.8824
8,4096,52,24,93.4856
8,4096,56,8,76.1829
8,4096,56,12,87.0974
8,4096,56,16,96.1079
8,4096,56,20,104.854
8,4096,56,24,102.3099
8,4096,56,28,109.985
8,4096,60,8,76.6873
8,4096,60,12,91.8863
8,4096,60,16,101.3458
8,4096,60,20,109.963
8,4096,60,24,106.1907
8,4096,60,28,103.5448
8,4096,64,8,83.8024
8,4096,64,12,93.4672
8,4096,64,16,111.6092
8,4096,64,20,109.9765
8,4096,64,24,117.6726
8,4096,64,28,115.3528
8,4096,64,32,126.659
8,4096,68,8,83.9232
8,4096,68,12,97.7097
8,4096,68,16,105.2444
8,4096,68,20,112.5217
8,4096,68,24,117.4835
8,4096,68,28,115.1061
8,4096,68,32,115.8718
8,4096,72,8,91.3299
8,4096,72,12,106.2154
8,4096,72,16,115.8308
8,4096,72,20,122.4175
8,4096,72,24,128.2293
8,4096,72,28,128.3592
8,4096,72,32,128.5476
8,4096,72,36,137.4985
8,4096,76,8,90.5113
8,4096,76,12,104.2772
8,4096,76,16,118.0286
8,4096,76,20,124.7212
8,4096,76,24,122.3322
8,4096,76,28,130.1335
8,4096,76,32,129.9424
8,4096,76,36,129.0848
8,4096,80,8,95.8241
8,4096,80,12,109.6837
8,4096,80,16,126.1399
8,4096,80,20,133.3289
8,4096,80,24,128.5057
8,4096,80,28,134.8163
8,4096,80,32,137.4183
8,4096,80,36,136.3843
8,4096,80,40,146.301
8,4096,84,8,95.9373
8,4096,84,12,113.5657
8,4096,84,16,121.1883
8,4096,84,20,125.8698
8,4096,84,24,131.6174
8,4096,84,28,137.448
8,4096,84,32,139.839
8,4096,84,36,138.1713
8,4096,84,40,137.0518
8,4096,88,8,101.2982
8,4096,88,12,114.1192
8,4096,88,16,129.6881
8,4096,88,20,135.3093
8,4096,88,24,140.1042
8,4096,88,28,136.787
8,4096,88,32,146.6074
8,4096,88,36,146.8624
8,4096,88,40,143.8915
8,4096,88,44,150.4605
8,4096,92,8,100.5511
8,4096,92,12,116.5071
8,4096,92,16,131.0915
8,4096,92,20,135.4877
8,4096,92,24,139.4163
8,4096,92,28,136.3215
8,4096,92,32,146.7972
8,4096,92,36,147.3234
8,4096,92,40,145.5
8,4096,92,44,143.0062
8,4096,96,8,104.6351
8,4096,96,12,122.852
8,4096,96,16,138.9329
8,4096,96,20,145.3755
8,4096,96,24,147.272
8,4096,96,28,144.5177
8,4096,96,32,156.9053
8,4096,96,36,155.702
8,4096,96,40,157.1199
8,4096,96,44,151.6068
8,4096,96,48,163.8288
8,4096,100,8,104.164
8,4096,100,12,120.3651
8,4096,100,16,134.768
8,4096,100,20,145.2336
8,4096,100,24,139.1838
8,4096,100,28,148.9232
8,4096,100,32,149.3759
8,4096,100,36,156.4491
8,4096,100,40,156.4586
8,4096,100,44,153.7673
8,4096,100,48,154.9281
8,4096,104,8,105.7979
8,4096,104,12,123.1404
8,4096,104,16,138.0506
8,4096,104,20,142.8519
8,4096,104,24,146.8464
8,4096,104,28,153.3211
8,4096,104,32,154.5386
8,4096,104,36,161.1041
8,4096,104,40,161.0278
8,4096,104,44,160.1247
8,4096,104,48,159.7261
8,4096,104,52,167.3447
8,4096,108,8,106.094
8,4096,108,12,126.391
8,4096,108,16,140.242
8,4096,108,20,144.1838
